run,heuristic,cost,expanded_nodes,runtime_s
61,Hamming,23,12945,0.03305839999984528
61,Manhattan,23,1092,0.003071399999953428
62,Hamming,24,17172,0.043651299999964976
62,Manhattan,24,971,0.002647499999966385
63,Hamming,20,3416,0.008341900000232272
63,Manhattan,20,57,0.00016119999963848386
64,Hamming,16,597,0.001404899999670306
64,Manhattan,16,175,0.0004625000001396984
65,Hamming,14,250,0.0005707999998776359
65,Manhattan,14,42,0.00011289999974906095
66,Hamming,24,17389,0.044327399999929185
66,Manhattan,24,1123,0.0030624000000898377
67,Hamming,21,6092,0.015043299999888404
67,Manhattan,21,1126,0.0031788999999662337
68,Hamming,18,1209,0.003286600000137696
68,Manhattan,18,86,0.00023430000010193908
69,Hamming,22,7390,0.018496199999844976
69,Manhattan,22,637,0.0017020999998749176
70,Hamming,22,7476,0.0185764000002564
70,Manhattan,22,688,0.0018778000003294437
71,Hamming,24,19177,0.048563800000010815
71,Manhattan,24,3013,0.008770899999944959
72,Hamming,22,8722,0.021705499999825406
72,Manhattan,22,444,0.00122369999962757
73,Hamming,25,28798,0.07157939999979135
73,Manhattan,25,2729,0.007673699999941164
74,Hamming,25,29303,0.0754135000001952
74,Manhattan,25,2725,0.00761049999982788
75,Hamming,30,115157,0.27776330000006055
75,Manhattan,30,20475,0.05688049999980649
76,Hamming,22,8371,0.021396499999809748
76,Manhattan,22,1245,0.003443900000092981
77,Hamming,24,17428,0.04398940000010043
77,Manhattan,24,1171,0.0031943999997565697
78,Hamming,26,38252,0.0960731999998643
78,Manhattan,26,3802,0.010701500000322994
79,Hamming,22,8294,0.020956400000159192
79,Manhattan,22,1303,0.0036109000002397806
80,Hamming,16,666,0.0015714999999545398
80,Manhattan,16,121,0.000335700000050565
81,Hamming,16,493,0.0011518000001160544
81,Manhattan,16,102,0.0002768999997897481
82,Hamming,19,2303,0.005665900000167312
82,Manhattan,19,314,0.0008615000001555018
83,Hamming,23,12799,0.03297100000008868
83,Manhattan,23,994,0.0029617999998663436
84,Hamming,24,18388,0.04684829999996509
84,Manhattan,24,2185,0.006119600000147329
85,Hamming,20,3619,0.009210199999870383
85,Manhattan,20,759,0.002144499999758409
86,Hamming,20,3746,0.009575900000072579
86,Manhattan,20,893,0.0030504999999720894
87,Hamming,18,1278,0.0031782999999450112
87,Manhattan,18,157,0.0004361000001154025
88,Hamming,26,39318,0.10700440000027811
88,Manhattan,26,5927,0.017602200000055745
89,Hamming,26,45166,0.12191550000034113
89,Manhattan,26,4749,0.013394599999628554
90,Hamming,23,13391,0.03468720000000758
90,Manhattan,23,1636,0.004502700000102777
91,Hamming,25,28528,0.07309450000002471
91,Manhattan,25,2133,0.00602279999975508
92,Hamming,19,2270,0.005605500000001484
92,Manhattan,19,273,0.0007472000002053392
93,Hamming,23,12252,0.03094569999984742
93,Manhattan,23,522,0.0014344000001074164
94,Hamming,18,1504,0.003543700000136596
94,Manhattan,18,178,0.0004814999997506675
95,Hamming,22,7887,0.019702300000062678
95,Manhattan,22,885,0.0024304999997184495
96,Hamming,25,29606,0.07354659999964497
96,Manhattan,25,3514,0.009739399999943998
97,Hamming,26,38561,0.09735389999968902
97,Manhattan,26,4299,0.012209100000291073
98,Hamming,26,38926,0.09856310000031954
98,Manhattan,26,4863,0.013773899999705463
99,Hamming,17,928,0.002267200000005687
99,Manhattan,17,148,0.0003974999999627471
